workout_days,sleep_hours,steps_per_day,bmi,age,resting_hr,fitness_level
2,9.4,6334,21.4,57,58,High
4,9.4,18261,18.4,40,70,High
6,5.3,11148,30.3,45,77,High
6,5.4,8220,24.3,28,76,High
6,8.6,3042,27.2,36,73,High
3,9.3,9441,21.8,15,50,High
0,8.6,15080,33.5,32,90,High
2,5.3,3643,31.2,48,57,Medium
2,8.8,6573,17.1,36,79,High
7,7.1,14597,23.7,41,55,High
3,4.2,5161,29.8,15,61,Medium
4,9.5,13035,28.9,17,66,High
4,4.3,12115,18.2,24,63,High
5,9.9,16377,34.0,49,70,High
3,9.4,4075,34.5,51,65,Medium
0,5.7,11946,34.9,50,68,Medium
6,6.4,7167,34.6,21,89,High
2,9.4,5117,33.1,44,81,Medium
5,7.8,16015,18.2,40,82,High
0,7.3,6821,21.3,59,70,Medium
7,4.1,9436,32.6,21,80,High
2,7.5,7490,32.9,55,62,Medium
6,7.0,18011,24.5,33,86,High
7,8.9,8616,30.2,30,80,High
2,6.5,13202,25.4,20,71,High
4,8.5,7720,24.8,31,50,High
5,5.0,5101,16.4,21,76,High
2,8.5,10173,19.5,53,61,High
0,6.1,16099,32.9,54,81,Medium
2,9.3,15195,26.6,54,80,High
7,7.8,14145,18.0,53,71,High
5,7.0,18658,28.6,37,73,High
3,7.3,16719,22.3,33,70,High
1,9.5,9284,16.5,48,67,High
1,4.5,16671,26.4,54,77,High
3,5.7,5864,17.9,45,82,Medium
6,4.3,6777,24.4,43,63,High
1,5.8,19328,21.4,59,78,High
2,8.9,10470,29.9,22,56,High
6,7.7,1807,33.8,15,85,High
3,4.8,18250,24.2,15,72,High
5,8.7,19850,24.2,41,77,High
2,6.4,12558,19.5,58,58,High
3,4.3,17983,17.3,53,67,High
2,4.3,5877,16.7,31,71,Medium
6,7.6,12958,31.8,39,83,High
0,6.2,11937,22.0,21,86,High
7,4.2,17941,19.6,58,65,High
5,5.8,1515,31.7,22,78,Medium
1,7.0,19744,24.5,24,85,High
4,9.7,1187,19.7,54,70,High
0,8.8,8597,32.9,18,62,High
7,8.8,1582,17.7,51,68,High
0,8.9,9543,17.6,29,87,High
1,5.6,3657,26.7,38,85,Low
4,6.5,7626,34.8,60,80,Medium
1,4.7,14092,20.8,52,62,High
2,8.8,12287,32.1,17,65,High
7,8.9,18539,25.8,25,54,High
2,6.8,5708,27.1,54,88,Medium
2,7.2,4120,26.5,53,70,Medium
0,6.4,8884,26.7,29,79,Medium
0,9.2,4653,18.3,37,64,High
5,6.2,12915,16.9,24,63,High
0,5.0,15868,27.5,33,55,High
6,4.1,14604,22.7,49,65,High
2,9.5,13190,32.3,47,75,High
6,7.0,16257,34.3,29,62,High
7,9.6,9149,27.2,30,53,High
2,7.4,14956,16.8,21,83,High
6,7.7,8481,30.7,23,81,High
6,8.7,5107,29.8,30,67,High
0,7.8,15841,22.6,42,89,High
1,4.5,2083,20.5,49,73,Low
4,5.0,9484,16.1,49,80,High
3,5.8,5523,17.1,43,89,Medium
0,10.0,17440,17.7,55,67,High
4,9.7,11993,16.9,40,56,High
2,4.5,16009,23.4,42,61,High
6,4.4,1847,18.4,38,71,High
4,6.9,1934,32.1,40,51,Medium
1,7.0,9650,23.9,48,69,High
2,8.9,19743,17.3,52,73,High
1,5.6,4500,29.3,31,90,Low
4,9.9,4152,27.3,54,77,High
1,9.7,6166,18.2,56,66,High
1,9.3,2083,20.9,43,76,Medium
6,7.7,7269,34.0,33,70,High
2,4.4,4855,20.7,40,80,Medium
3,4.5,16750,30.5,37,64,High
0,8.5,5447,32.6,37,81,Medium
1,9.1,10213,20.4,53,79,High
1,8.8,19038,30.0,38,80,High
4,6.9,3064,22.4,19,72,High
7,5.5,6469,23.3,51,55,High
6,5.2,9507,29.5,38,53,High
3,7.2,18234,19.2,22,51,High
2,9.3,3107,32.0,15,85,Medium
3,9.2,15093,25.6,29,51,High
1,5.0,5782,29.2,60,79,Low
1,8.0,19673,33.0,59,73,High
6,8.3,17739,34.2,45,84,High
6,4.2,15048,19.9,27,63,High
3,6.0,13908,27.8,35,75,High
5,8.3,4167,18.2,52,80,High
6,8.7,5149,31.6,55,73,High
1,9.1,16111,17.0,29,59,High
1,4.6,3814,28.7,59,65,Low
0,4.3,1991,19.7,46,61,Low
3,5.6,9297,33.5,26,53,High
3,7.6,18727,19.8,29,59,High
4,6.4,6383,25.1,31,89,High
1,5.1,17426,18.4,40,87,High
6,9.1,8167,24.1,58,80,High
7,5.2,16732,25.3,21,50,High
1,4.7,2553,30.0,34,78,Low
7,5.7,16335,32.1,22,80,High
1,7.5,18098,18.2,28,78,High
4,7.8,18546,18.3,46,53,High
3,5.6,16996,26.3,54,57,High
4,5.4,6827,31.3,49,68,High
2,5.4,15534,31.3,35,64,High
4,4.9,15302,22.2,49,55,High
2,5.3,5800,20.3,46,66,Medium
7,9.8,19218,32.0,42,89,High
0,5.2,18410,22.2,16,54,High
5,7.9,6476,21.2,48,77,High
7,5.6,17799,20.4,58,50,High
2,9.7,5367,26.4,42,54,High
4,7.7,12833,21.7,57,83,High
0,5.9,1462,22.2,29,67,Medium
7,8.1,11828,28.1,33,82,High
0,9.5,1724,24.1,25,62,Medium
5,4.7,4890,26.4,22,66,High
3,7.9,4170,26.6,43,60,High
7,6.0,17091,29.8,35,60,High
2,4.5,17509,21.8,40,88,High
0,8.0,16696,29.8,34,77,High
0,9.8,16623,31.9,15,73,High
3,9.4,19244,27.7,48,85,High
6,9.3,1158,20.7,26,75,High
4,6.2,14676,29.0,34,58,High
2,5.4,17842,33.1,37,87,High
4,7.4,5224,20.5,43,68,High
5,4.6,7103,30.5,33,52,High
4,9.5,6149,28.7,22,56,High
3,4.6,5856,21.6,45,53,High
4,5.3,14976,24.6,33,56,High
2,8.9,12150,29.2,38,67,High
3,6.5,16706,19.1,27,90,High
6,9.8,7890,31.2,47,86,High
7,4.2,17640,19.9,38,56,High
4,5.0,6385,21.9,19,82,High
2,9.6,11942,31.5,56,81,High
1,9.5,11124,22.7,56,65,High
5,7.6,13208,34.9,37,66,High
3,7.8,12301,18.6,25,52,High
1,4.9,10074,29.0,21,58,High
5,5.6,18725,32.9,50,57,High
1,8.3,15068,22.3,19,72,High
0,8.1,19669,29.9,43,56,High
0,8.4,3032,34.5,43,68,Low
0,7.5,18556,27.8,34,69,High
6,6.8,17914,30.2,16,89,High
3,8.1,18625,26.9,24,89,High
6,9.3,12763,30.0,39,72,High
3,5.3,5124,21.7,40,84,High
2,7.7,18273,28.1,48,57,High
7,5.7,11243,20.8,37,63,High
2,7.8,18907,19.1,24,88,High
5,6.3,15065,31.8,33,57,High
5,5.5,12925,21.6,15,61,High
0,7.7,14749,22.1,54,77,High
6,9.4,8313,31.8,21,87,High
5,5.9,11919,21.5,40,52,High
0,5.8,9875,18.1,50,71,Medium
1,9.3,2725,19.3,25,64,High
5,8.6,15244,31.6,33,79,High
3,9.7,16725,34.1,55,77,High
7,8.2,1556,25.1,17,76,High
5,4.4,1761,25.9,40,74,Medium
1,7.7,14388,31.6,60,86,High
4,9.5,6968,28.9,20,87,High
3,4.1,11848,27.3,39,52,High
0,8.0,4039,20.3,49,51,Medium
1,5.8,17304,30.3,20,78,High
6,4.7,12689,26.2,21,83,High
4,4.0,2848,24.9,17,80,Medium
4,7.0,15710,33.8,25,79,High
5,7.1,9684,31.8,37,66,High
7,8.9,15111,22.3,16,58,High
7,5.7,13755,28.6,40,88,High
0,7.8,10484,31.0,49,87,Medium
7,5.1,10915,34.0,59,57,High
6,8.0,15925,22.3,27,63,High
3,7.0,7518,26.1,20,77,High
2,9.6,18822,32.0,21,79,High
7,9.8,14162,29.8,43,64,High
2,9.7,16992,33.6,25,82,High
1,4.5,9314,28.7,46,77,Medium
6,8.5,12925,26.0,25,50,High
6,9.9,12270,30.9,51,67,High
0,7.9,6264,30.1,21,72,Medium
6,6.0,9032,34.2,23,86,High
5,9.2,10222,21.3,32,78,High
0,4.9,4696,26.1,21,66,Medium
1,5.7,12026,26.4,19,69,High
1,9.3,12522,34.3,21,73,High
2,4.3,14444,27.3,45,82,High
4,4.2,9012,31.9,52,86,Medium
5,6.7,8051,26.6,19,55,High
2,4.1,17829,25.4,53,57,High
3,8.7,9934,26.1,29,78,High
3,6.1,1872,30.4,15,56,Medium
0,4.6,15014,29.3,29,52,High
3,8.8,19101,19.9,59,67,High
5,7.0,19373,23.7,21,59,High
5,5.8,11057,32.9,57,74,High
1,9.5,4734,22.9,56,67,High
0,4.7,7124,29.2,48,76,Low
2,5.2,14555,25.1,30,68,High
1,9.9,15761,23.4,28,89,High
2,4.4,4608,19.2,22,86,Medium
4,5.7,18686,28.4,33,76,High
3,5.7,12433,31.7,59,65,High
6,8.1,4487,30.4,33,50,High
6,4.8,12538,27.3,28,60,High
4,5.6,6916,25.4,55,61,High
4,5.3,10675,33.3,45,56,High
7,9.3,6583,29.0,33,75,High
5,6.6,10871,26.2,15,52,High
1,6.0,6107,20.3,18,86,Medium
1,6.3,18547,28.2,33,60,High
2,4.3,14342,34.8,35,74,High
6,7.7,3500,23.5,46,59,High
1,7.7,16892,31.5,18,88,High
4,8.8,19071,31.1,33,54,High
0,6.3,8982,21.3,36,59,High
5,5.1,19575,22.3,24,62,High
1,9.3,11664,25.2,23,86,High
4,5.1,15541,32.1,34,82,High
6,4.9,17913,25.2,46,85,High
6,5.6,4000,32.2,47,57,High
0,9.1,8799,20.6,20,89,High
5,9.9,7325,29.0,28,53,High
6,6.3,13603,20.6,36,62,High
4,10.0,4170,20.2,19,63,High
6,8.9,10450,19.1,57,83,High
2,7.9,5409,33.7,41,51,Medium
0,7.2,4609,32.8,57,85,Low
4,6.6,3831,23.3,17,86,High
3,8.7,7169,32.9,28,81,High
5,4.6,9480,19.6,53,51,High
5,7.4,13490,32.4,22,54,High
2,8.6,5690,22.4,25,70,High
7,7.4,17782,17.0,28,58,High
1,6.4,17304,32.0,54,63,High
2,7.6,2366,30.1,17,78,Medium
2,6.1,7865,34.1,49,52,Medium
5,6.1,2712,19.7,52,78,High
0,9.4,11920,35.0,49,61,High
5,7.2,7101,22.9,59,58,High
5,6.7,3212,21.9,48,53,High
7,6.4,10310,24.3,16,78,High
5,6.2,17354,25.3,37,58,High
2,9.7,11848,27.9,45,56,High
7,4.2,6838,22.5,29,73,High
2,5.5,17222,27.2,56,85,High
5,9.8,16453,31.0,42,63,High
7,5.3,11414,19.7,58,59,High
6,7.0,11631,33.6,60,76,High
3,9.3,19467,22.4,34,88,High
2,8.7,16311,31.7,42,87,High
7,4.6,10497,19.3,49,66,High
4,4.4,11020,30.7,34,58,High
5,9.8,13072,26.9,54,86,High
2,9.8,1530,28.1,37,89,Medium
4,5.6,13995,22.7,39,65,High
